path,slug,title,date,expiryDate,publishDate,draft,permalink,kind,section
content/en/blog/goldfinch.md,,American Goldfinch,2025-10-28T14:06:32-04:00,0001-01-01T00:00:00Z,2025-10-28T14:06:32-04:00,false,https://marclaliberte.photos/en/blog/2025/10/28/goldfinch/,page,blog
content/fr/blog/goldfinch.md,,Chardonneret jaune,2025-10-28T14:06:32-04:00,0001-01-01T00:00:00Z,2025-10-28T14:06:32-04:00,false,https://marclaliberte.photos/blog/2025/10/28/goldfinch/,page,blog
content/fr/blog/simonNaturalLight.md,,Simon en lumière naturelle,2025-10-28T12:18:18-04:00,0001-01-01T00:00:00Z,2025-10-28T12:18:18-04:00,false,https://marclaliberte.photos/blog/2025/10/28/simonnaturallight/,page,blog
content/en/blog/simonNaturalLight.md,,Simon in natural light,2025-10-28T12:18:18-04:00,0001-01-01T00:00:00Z,2025-10-28T12:18:18-04:00,false,https://marclaliberte.photos/en/blog/2025/10/28/simonnaturallight/,page,blog
content/fr/blog/simonPortraits.md,,Portraits de Simon Gagnon,2025-10-28T11:39:58-04:00,0001-01-01T00:00:00Z,2025-10-28T11:39:58-04:00,false,https://marclaliberte.photos/blog/2025/10/28/simonportraits/,page,blog
content/en/blog/simonPortraits.md,,Portraits of Simon Gagnon,2025-10-28T11:39:58-04:00,0001-01-01T00:00:00Z,2025-10-28T11:39:58-04:00,false,https://marclaliberte.photos/en/blog/2025/10/28/simonportraits/,page,blog
content/fr/blog/chicken.md,,Dinosaure moderne,2025-10-27T08:39:53-04:00,0001-01-01T00:00:00Z,2025-10-27T08:39:53-04:00,false,https://marclaliberte.photos/blog/2025/10/27/chicken/,page,blog
content/en/blog/chicken.md,,Dinosaure moderne,2025-10-27T08:39:53-04:00,0001-01-01T00:00:00Z,2025-10-27T08:39:53-04:00,false,https://marclaliberte.photos/en/blog/2025/10/27/chicken/,page,blog
content/en/blog/womenFourGenerations.md,,Four generations of women,2025-10-27T08:03:45-04:00,0001-01-01T00:00:00Z,2025-10-27T08:03:45-04:00,false,https://marclaliberte.photos/en/blog/2025/10/27/womenfourgenerations/,page,blog
content/fr/blog/womenFourGenerations.md,,Quatre générations de femmes,2025-10-27T08:03:45-04:00,0001-01-01T00:00:00Z,2025-10-27T08:03:45-04:00,false,https://marclaliberte.photos/blog/2025/10/27/womenfourgenerations/,page,blog
content/fr/blog/simonShadow.md,,Simon et son ombre,2025-10-26T11:15:58-04:00,0001-01-01T00:00:00Z,2025-10-26T11:15:58-04:00,false,https://marclaliberte.photos/blog/2025/10/26/simonshadow/,page,blog
content/en/blog/simonShadow.md,,Simon and his shadow,2025-10-26T11:15:57-04:00,0001-01-01T00:00:00Z,2025-10-26T11:15:57-04:00,false,https://marclaliberte.photos/en/blog/2025/10/26/simonshadow/,page,blog
content/en/blog/groundhog3.md,,Dangerous groundhog,2025-10-25T10:34:45-04:00,0001-01-01T00:00:00Z,2025-10-25T10:34:45-04:00,false,https://marclaliberte.photos/en/blog/2025/10/25/groundhog3/,page,blog
content/fr/blog/groundhog3.md,,Marmotte dangereuse,2025-10-25T10:34:45-04:00,0001-01-01T00:00:00Z,2025-10-25T10:34:45-04:00,false,https://marclaliberte.photos/blog/2025/10/25/groundhog3/,page,blog
content/fr/blog/toad.md,,Portrait de crapaud,2025-10-24T11:49:43-04:00,0001-01-01T00:00:00Z,2025-10-24T11:49:43-04:00,false,https://marclaliberte.photos/blog/2025/10/24/toad/,page,blog
content/en/blog/toad.md,,Toad portrait,2025-10-24T11:49:43-04:00,0001-01-01T00:00:00Z,2025-10-24T11:49:43-04:00,false,https://marclaliberte.photos/en/blog/2025/10/24/toad/,page,blog
content/fr/blog/blackbackedgull.md,,Goéland marin penseur,2025-10-23T10:53:07-04:00,0001-01-01T00:00:00Z,2025-10-23T10:53:07-04:00,false,https://marclaliberte.photos/blog/2025/10/23/blackbackedgull/,page,blog
content/en/blog/blackbackedgull.md,,Thinking Black-backed Gull,2025-10-23T10:53:07-04:00,0001-01-01T00:00:00Z,2025-10-23T10:53:07-04:00,false,https://marclaliberte.photos/en/blog/2025/10/23/blackbackedgull/,page,blog
content/fr/blog/butterbuttbutler.md,,Butterbuttbutler,2025-10-08T12:03:00-04:00,0001-01-01T00:00:00Z,2025-10-08T12:03:00-04:00,false,https://marclaliberte.photos/blog/2025/10/08/butterbuttbutler/,page,blog
